,rgi_id,t_star,mu_star,prcp_fac,bias,err_perc
0,RGI50-11.A51F47-0,,68.0,0.7500000000000002,0.0001843607262754896,-0.0657623383672582
0,RGI50-11.A51F47-1,,15.75,0.15000000000000002,0.0005194463953710354,-0.11038585114069796
0,RGI50-11.A51F49-0,,40.25,0.8500000000000002,0.0004887345701303661,-0.1156483678387274
0,RGI50-11.A51F49-2,,72.0,0.6500000000000001,0.0002935519144123708,-0.08962835727119198
0,RGI50-11.A51F49-3,,63.5,0.6500000000000001,0.000404185575748602,-0.10517036556561213
0,RGI50-11.A51F60,,37.5,1.1500000000000004,0.006864345817926872,-0.4265191645477528
0,RGI50-11.A51F61,,39.5,0.35000000000000003,0.00020616437146349454,-0.045815013094676935
0,RGI50-11.A51F62n,,61.75,1.2500000000000002,7.468998393379996e-05,-0.12070302677680834
0,RGI50-11.A51F63n-0,,48.0,1.7500000000000004,5.611008217493314e-05,-0.12937247559893084
0,RGI50-11.A51F63n-1,,68.75,2.45,0.026055934943079315,-2.7878844330859427
0,RGI50-11.A51F63n-2,,8.0,0.15000000000000002,0.0003325752344530898,-0.3149679684420574
0,RGI50-11.A51F63n-4,,52.5,0.8500000000000002,4.065132653993505e-05,-0.11011812230084607
0,RGI50-11.A51F64n,,23.25,0.2500000000000001,0.0005073135241288252,-0.3130019659548437
0,RGI50-11.A51F65n,,16.75,0.7500000000000002,0.004660366002287406,-1.3816408295656002
0,RGI50-11.A51F66n,,18.75,0.35000000000000003,2.0304916537185813e-07,-0.01131332590040053
0,RGI50-11.A51F72n,,6.25,0.15000000000000002,3.568433199138324e-05,-0.06432948969115605
0,RGI50-11.A51F83n,,26.5,0.9500000000000002,0.0005987502811670972,-0.2763651948471964
0,RGI50-11.A51F84n,,15.75,0.5500000000000002,0.00018027199565237676,-0.14415439894792634
0,RGI50-11.A51G01-0,,27.75,0.9500000000000002,0.003659415595620231,-5.007707260180968
0,RGI50-11.A51G01-1,,25.25,1.0500000000000005,0.0007688732836779677,-2.2954109602544825
0,RGI50-11.A51G07,,48.75,2.45,0.018939576862586245,-0.7779160885882761
